Fx,Fy,FzTx,Ty,Tz
-0.0292553,0.0257253,0.874656,-0.764924,-0.700585,-0.150464
-0.0330993,0.0371516,0.966036,-0.999932,-0.501851,-0.122487
-0.0360981,0.0426095,1.09163,-1.15303,-0.582528,-0.091474
-0.043154,0.0490027,1.21995,-1.52719,-0.45408,-0.177968
-0.0446514,0.052547,1.30684,-1.62972,-0.520829,-0.0361609
-0.0470444,0.0612815,1.37529,-1.82203,-0.476876,0.0531641
-0.044827,0.0666043,1.45497,-1.90777,-0.420056,0.00782257
-0.046554,0.0633867,1.50343,-1.86861,-0.313451,-0.0272192
-0.0438983,0.0638559,1.52408,-1.77034,-0.326821,-0.0289664
-0.0443723,0.0672507,1.55021,-1.75976,-0.233148,-0.0588965
-0.0421572,0.065962,1.59399,-1.72743,-0.018754,-0.151014
-0.0416832,0.059489,1.62745,-1.62509,-0.140996,-0.277601
-0.0418891,0.0699325,1.70747,-1.76099,0.317542,-0.338788
-0.0358283,0.0687057,1.78869,-1.73208,0.484145,-0.367261
-0.0311737,0.0669885,1.89582,-1.64199,0.61692,-0.412061
-0.0317745,0.0690768,1.94112,-1.54707,0.793353,-0.232068
-0.0266367,0.0655592,1.92544,-1.48192,0.885299,-0.208326
-0.0295319,0.062018,1.89766,-1.20882,1.2052,-0.423208
-0.026149,0.0561305,1.82509,-0.949944,1.21494,-0.412862
-0.0198952,0.0543819,1.78363,-0.793576,1.25906,-0.399984
-0.0223936,0.0510622,1.83162,-0.75533,1.20023,-0.378171
-0.0218958,0.0555319,1.91251,-0.921197,1.1949,-0.35304
-0.0257525,0.0684271,2.04194,-1.3522,1.37072,-0.336255
-0.0218916,0.0779875,2.21845,-1.72829,1.29051,-0.420263
-0.028746,0.0873054,2.34933,-2.0617,1.23787,-0.389707
-0.0279804,0.0940581,2.40464,-2.2808,1.2755,-0.391324
-0.0296593,0.0933517,2.38797,-2.18509,1.1123,-0.242162
-0.0309276,0.0854288,2.36594,-1.93342,1.04995,-0.324644
-0.028319,0.0807968,2.35459,-1.70934,1.05621,-0.442258
-0.0305501,0.0768043,2.44187,-1.4664,0.981967,-0.385282
-0.0319247,0.0855837,2.55914,-1.42683,0.90998,-0.398267
-0.040173,0.0880565,2.68967,-1.5332,0.896514,-0.339658
-0.0431923,0.0923567,2.81048,-1.66701,0.772063,-0.368223
-0.044619,0.0924755,2.89057,-1.88309,0.589183,-0.488576
-0.0415994,0.0975521,2.89632,-1.85257,0.719516,-0.311307
-0.0428195,0.0921138,2.88508,-1.7356,0.661979,-0.446332
-0.0396948,0.0910733,2.85546,-1.60768,0.739211,-0.40106
-0.0425537,0.0891891,2.8305,-1.51903,0.806258,-0.285978
-0.0403677,0.0906188,2.87887,-1.39973,0.897147,-0.302938
-0.0399822,0.0824662,2.91048,-1.30706,0.970145,-0.402601
-0.0382497,0.0833564,2.92178,-1.18155,1.0598,-0.294912
-0.035918,0.0798128,2.9413,-1.00897,1.15554,-0.383634
-0.0304795,0.0777599,2.9218,-1.00675,1.17707,-0.304426
-0.0310466,0.0780229,2.91349,-0.859757,1.48983,-0.336896
-0.0256666,0.0756807,2.86335,-0.730016,1.55163,-0.314817
-0.0254899,0.0702178,2.8005,-0.622468,1.6948,-0.446088
-0.0199659,0.0629031,2.73639,-0.467774,1.80411,-0.402929
-0.0164432,0.056919,2.67595,-0.382622,1.91306,-0.388082
-0.0131943,0.0580801,2.62277,-0.28497,2.04835,-0.411481
-0.00900708,0.0534397,2.52012,-0.20424,2.10996,-0.273481
-0.0103094,0.0476926,2.39114,-0.0106361,2.35482,-0.308805
-0.00310026,0.0389751,2.18689,0.103225,2.48659,-0.176404
0.00277497,0.034792,1.96526,0.36663,2.39245,-0.279943
0.00515462,0.0235104,1.72242,0.518367,2.34885,-0.312292
0.00659264,0.0239872,1.51395,0.40874,2.31584,-0.29968
0.00592018,0.0261233,1.3463,0.197459,2.21464,-0.211454
0.00436021,0.0302331,1.18683,-0.249074,2.09563,-0.29289
0.00194765,0.0347633,0.990993,-0.8788,1.95061,-0.0933661
0.00225855,0.0303211,0.821442,-1.14817,1.76585,-0.235906
0.00333501,0.0262782,0.584355,-1.15276,1.37314,-0.10803
-0.00412582,0.0197983,0.290334,-1.11977,0.851974,0.0155664
-0.00648521,0.0150972,0.0385652,-1.39579,0.351714,0.0320306
0.0120896,0.0123473,0.0290976,-1.86865,1.26124,-0.0101599
0.00806607,0.0283582,0.0164624,-2.89845,1.02885,-0.109174
0.00828768,0.0332735,-0.0351596,-3.17192,0.821326,-0.106496
-0.0280394,-0.0165793,-0.0333995,0.802013,-1.75887,0.170634
-0.00706409,-0.0194153,-0.00905558,2.02161,-0.924844,0.130755
-0.00427567,-0.0228828,-0.0253606,1.91164,-0.324792,0.0359903
0.00574828,0.0103417,0.00269083,-0.376286,0.693679,-0.043508
0.00152315,0.00960332,0.03753,-1.38955,0.454986,-0.0649695
0.000143063,0.0103912,0.0288849,-1.11765,0.307117,-0.081861
-0.00726687,0.00496167,-0.0229921,0.166835,-0.20482,0.0840784
